English,Urdu
he’s very annoying,خود وہاں جاؤ
go there yourself,یہاں وہ آتا ہے
here he comes,یہاں محفوظ تھے۔
were safe here,زین نے مریم کا مذاق اڑایا
zain made fun of mary,زین کی تین بھانجیاں ہیں۔
zain has three nieces,تم کتنی دور جا رہے ہو؟
how far are you going,میں نے طلوع آفتاب دیکھا
i saw the sunrise,کیا تم بھولے ہو؟
are you forgetful,انہوں نے ٹام پایا
they found tom,میں چاپلوسی محسوس کرتا ہوں۔
i feel flattered,کتنا بڑا ٹرک ہے
what a big truck,یہ حقیقی پیسہ نہیں ہے
its not real money,وہ ایک مہربان لڑکا ہے
he is a kind boy,وہ مجھے دے دو
give that to me,کیا تم ٹام سے ڈرتے ہو؟
are you afraid of tom,زین نے واضح طور پر جھوٹ بولا۔
zain obviously lied,زین سیر کرنے چلا گیا۔
zain went sightseeing,وہ کارنیشن ہیں
they are carnations,یہ ٹام کی طرح بو ہے
it smells like tom,اس نے آپ کو کیا وقت دیا؟
what time did  he give to you,کیا وہ سبق کو ٹھیک سے سمجھتی ہے؟
does she understand the lesson properly,ہم نے اسے زندہ پایا
we found him alive,زین رہ رہا ہے۔
zain is staying,اس لفظ کو چھوڑ دو
leave out this word,سبزیوں میں نمک کم ہوتا ہے۔
there is less salt in the vegetable,میں اپنی کافی کو بلیک پسند نہیں کرتا
i don’t prefer my coffee black,ہم شاذ و نادر ہی باہر جاتے ہیں۔
we rarely go out,کیا مجھے جانا ہے؟
do i have to go,زین نے اس پر بھروسہ کیا۔
zain trusted her,زین جانتا تھا
zain knew,انہوں نے منسوخ کر دیا
they canceled,ہم نے قوانین کی تعمیل کی۔
we obeyed the rules,آپ کا فون کہاں ہے؟
wheres your phone,کیا آپ میری مدد کر سکتا ہے
could you help me,میں سٹارٹر کے طور پر سوپ لوں گا۔
i will have the soup as a starter,زین بہت ایماندار ہے۔
zain is very honest,تم ایک نسل پرست ہو
you are a racist,یہ واپس دو
give it back,میں اپنا وقت ضائع کر رہا ہوں۔
i am wasting my time,وہ بہت محنت کے ساتھ پڑھتا ہے۔
he always studies hard,آج بہت گرمی ہے
its very hot today,بیج لگا رہے تھے۔
were planting seeds,محتاط رہیں۔
be careful,زین کھو گیا ہے
zain is lost,میں نروس نہیں تھا
i wasnt nervous,آپ کو نوکری مل جائے گی۔
youll find a job,زین تم سے پیار کرتا ہے۔
zain loves you,ان میں سے ایک لے لو
take one of these,جس نے الیکشن جیتا
who won the election,آئینہ کہاں ہے
wheres the mirror,یہ کتاب گرم کیک کی طرح بک رہی ہے۔
this book is selling like hot cakes,کیا آپ ٹرین سے جائیں گے؟
will you go by train,یہ مجھ پر
this ones on me,آپ اس پر یقین نہیں کریں گے
you wont believe it,آپ یقیناً گندے ہیں۔
you sure are dirty,ہر کوئی اسے پسند کرتا ہے
everybody likes him,وہ بے وفا ثابت ہوا
he proved disloyal,لوگ ظالم ہو سکتے ہیں
people can be cruel,زین کو الفاظ کے کھیل پسند ہیں۔
zain likes word games,میں یہ کر سکتا ہوں
i can do this,وہ اس کے ساتھ جھک گیا
she knelt beside him,زین سخی ہے
zain is generous,یہ کس کا خط ہے
whose letter is this,میں اسے اچھی طرح جانتا ہوں۔
i know her well,یہ ایک نئی کتاب ہے
its a new book,تم ایسے سور ہو
you are such a pig,میرے پاس کچھ کھانا ہے۔
i have some food,میرے پاس ایک فاضل کمرہ ہے۔
i have a spare room,مہربانی فرما کے آہستہ بولیں
please speak slowly,میرا خواب سچ ہو گیا
my dream came true,یہ بہت اطمینان بخش ہے
its very satisfying,میرے پاس ایک پیغام ہے۔
i have a message,اس نے بڑا خطرہ مول لیا۔
he took a big risk,یہ یہاں نہیں ہے
its not here,میں نے جو کہا مجھے افسوس ہے۔
i regret what i said,دوسروں کو مت بتائیں
dont tell others,زین اکلوتا بچہ ہے۔
zain is an only child,پھول شہد کی مکھیوں کو اپنی طرف متوجہ کرتے ہیں
flowers attract bees,یہ ایک بری علامت ہے
thats a bad sign,مجھے وہ جوتے چاہیے
i need those shoes,مجھے اپنی چابیاں دو
give me your keys,اب گھبرانا نہیں
now dont panic,کیا وہاں کوئی کیفے ہے؟
is there a cafe,زین کافی چنچل ہے۔
zain is quite picky,کچھ مچھلی ہے
something is fishy,کتنا ہوشیار آدمی ہے
what a smart guy,سرور ڈاؤن ہے
the server is down,میں نہیں چھوڑوں گا۔
i wont leave,مجھے بہت بھول لگی ہا
i am hungry,کیا تم نے ٹام سے محبت کی؟
did you love tom,چیزیں خوشگوار موڑ لے سکتی ہیں۔
the things may take a happy turn,زین جوان لگ رہا ہے
zain looks young,میں نے کسی کو نہیں دیکھا
i didnt see anyone,اس نے میری زندگی بدل دی
it changed my life,مجھے تھوڑا سا چوٹ لگی ہے۔
i am a little hurt,اس کے لئے معذرت
sorry about that,زین غیر باصلاحیت ہے
zain is untalented,راستے کی قیادت کریں
lead the way,وہ صحت مند نظر آتے ہیں
they look healthy,سورج چمک رہا ہے
the sun is shining,یہ دھوکہ ہے
thats cheating,وہ اب سفر کر رہا ہے
she is traveling now,چلو اس تیزی سے ختم کرو
lets end this fast,سارہ ہر ہفتے ایک ناول پڑھتی ہے۔
sara reads a novel every week,مجھے ایک طبیب کی ضرورت ہے۔
i need a medic,یہ سچ ہو سکتا ہے
that might be true,میں صرف اس بات کا یقین کر رہا ہوں
i am just making sure,جس نے ٹام کی مدد کی۔
who helped tom,یہ دلچسپ ہے
this is exciting,شاید وہ آئے گا
perhaps he will come,اس نے بیئر کا آرڈر دیا۔
he ordered a beer,تم ہوشیار ہو
you are witty,زین نے منہ بند کر لیا۔
zain closed his mouth,کسی بھی قیمت پر
at any cost,وہ کب گیا
when did he go,میں صرف ٹام کو نظر انداز کرتا ہوں۔
i just ignore tom,زین غیر زخمی دکھائی دیتا ہے۔
zain appears unhurt,میں ایک بینک میں کام کرتا ہوں۔
i work in a bank,مجھے جانا ہے
i have to go,سیسہ آسانی سے جھک جاتا ہے۔
lead bends easily,یہ صحیح جواب نہیں ہے۔
that's not the right answer,اس نے یتیم کو گود لیا
he adopted the orphan,ہم ایک فیکٹری میں کام کرتے ہیں
we work in a factory,میں گھر نہیں جا رہا ہوں۔
i am not going home,زین نے ساری رات کام کیا۔
zain worked all night,مجھے اپنے دانائی کے دانت میں درد محسوس ہوتا ہے۔
i feel pain in my wisdom tooth,مجھے دوبارہ کرتے ہوئے دیکھیں
watch me do it again,زین مجھے نہیں جانتا
zain doesnt know me,زین سے کہو جلدی کرو
tell zain to hurry,کیا آپکے پاس گاڑی ہے
do you have a car,یہ ایک نوبرینر ہے
thats a nobrainer,میں نے زین کو بتایا کہ میں ٹھیک ہوں۔
i told zain i was fine,زین نے ایک بھوت دیکھا
zain saw a ghost,میں نیچے جاؤں گا۔
i will go downstairs,میں اس کے بیٹے سے پیار کرتا ہوں۔
i love his son,کپڑے پر کریز بنتی ہے۔
a crease is formed on the cloth,کیا آپ جانتے ہیں کہ میں کون ہوں؟
do you know who i am,زین فریم کیا گیا تھا
zain was framed,کافی مجھے بیدار رکھتی ہے۔
coffee keeps me awake,ہمیں لوہے کی پٹی کی ضرورت ہے۔
we need an iron bar,کتنی خود غرض عورت ہے
what a selfish woman,وہ ٹھیک کر رہا ہے
he is doing it right,آپ ورکاہولک ہیں۔
you are a workaholic,یہ گاڑی تیز ہے
this car is fast,زین بیہوش ہو گیا
zains fainted,میرے ساتھ تیراکی کرو
come swim with me,میں غلط ہو سکتا ہوں۔
i could be wrong,میں نے ایک گھر خریدا۔
i bought a house,یہ کیک کس نے بنایا ہے۔
who made this cake,مجھے مزید پیسوں کی ضرورت ہے۔
i need more money,وہ کبھی میرا دوست تھا۔
he was once my friend,روم ایک پرانا شہر ہے۔
rome is an old city,مریم اندر آئی
mary came in,یہ ہوشیار ہو گا
that would be smart,وہ ایک رات کا الّو ہے۔
shes a night owl,زین کو کھانسی آنے لگی
zain started to cough,وہ تیزی سے تیر سکتا ہے۔
he can swim fast,وہ مصروف تھے
they were engaged,وہ یہ نہیں کر سکتا
he cant do it,میں جرمن پڑھوں گا۔
i will study german,یہ ممکن نہیں
thats not possible,انہوں نے بہت یاد کیا
they missed a lot,وہ گاڑی میں سو گیا
he slept in the car,وہ اس کے ساتھ چلا گیا
she went with him,اس نے اپنے بازو کو ہٹا دیا
he dislocated his arm,اپنی آنکھیں بند کرو
dont shut your eyes,یہ کوئی نئی بات نہیں ہے
thats nothing new,ناخواندہ تھے
were illiterate,کوئی خوش نہیں
nobodys happy,موسم گرما ختم ہو گیا ہے
summer has ended,وہ امریکہ میں انگریزی بولتے ہیں۔
they speak english in usa,آپ غیر باصلاحیت ہیں
you are untalented,کیا یہ پیار ہے
is it love,یہ ہم کر سکتے ہیں
this we can do,میں گوشت نہیں کھا سکتا
i cant eat meat,بہرحال آپ کا شکریہ
thanks anyway,زین بوسٹن میں رہتا ہے۔
zain lives in boston,زین ایک وزیر ہے۔
zain is a minister,زین رات کا کھانا کھا رہا ہے۔
zain is having dinner,وہ ایک افسوسناک موت مر گیا
he died a sad death,انہوں نے تعریف کی
they applauded,مائیک آپ کا ہے۔
the mic is yours,مجھے کیا ہوا ہے
what is wrong with me,میں غلطی سے آپ کو اپنا بھائی سمجھا۔
i mistook you for your brother,زین پر الزام لگایا گیا ہے
has zain been charged,مجھے امید ہے کہ اس سے مدد ملی
i hope that helped,میں نے اپنی بہن کے لئیے ایک نئی ٹوپی خریدی۔
i bought my sister a new hat,کمرہ صاف اور ہوادار ہے۔
room is clean and well-ventilated,وہ ڈاکٹر نہیں ہے
shes not a doctor,مجھے یہاں رہنا پسند ہے۔
i like living here,میں یہ سنبھال سکتا ہوں
i can handle it,وہ اس کی مدد کرتا ہے
she helps him,یہ بورنگ ہے
its boring,اس بار میں ادائیگی کر رہا ہوں۔
this time i am paying,میں اپنے آپ کو دھونا چاہتا ہوں۔
i want to wash myself,قریب ترین پاکستانی ریستوراں کہاں ہے؟
where is the closest pakistani restaurant,میں کتاب لے رہا ہوں۔
i am taking the book,میں اسے تم پر چھوڑتا ہوں۔
i leave that to you,آپ کو میرا ووٹ مل گیا ہے۔
youve got my vote,زین ایک پادری ہے۔
zain is a priest,میری ہارڈ ڈرائیو تقریبا پوری بھڑھ گئی ہے۔
my hard drive is almost full,اس پر دستخط کریں
sign this,میں اپنے والدین سے محبت کرتا ہوں
i love my parents,کیا ہم بات کرسکتے ہیں
can we talk,میرے پاس ایک گھوڑا ہے۔
i own a horse,مجھے مچھلی سے الرجی ہے۔
i am allergic to fish,میں نے اپنے پاؤں کو چوٹ لگائی
i hurt my foot,تم اب بھی سبز ہو
you are still green,یہ چوری ہے
its a steal,یہ واقعی میٹھا ہے
thats really sweet,میں آگے نہیں جا سکتا
i cant go on,کیا تم جاگ رہے ہو
are you awake,گھنٹی کو دو بار دبائیں
press the bell twice,وہ چینی بولتا ہے۔
he speaks chinese,کیا آپ کو ٹوفو پسند ہے؟
do you like tofu,زین نے خود کو گولی مار لی
zain shot himself,ہم نہیں جا سکتے
we cant go,یہ کافی نہیں ہے
its not enough,وہ میری آنکھ کا سیب ہے۔
he is an apple of my eye,کیا ہم جلد ہی رک جائیں گے؟
shall we stop soon,مجھے نظمیں لکھنا پسند ہے۔
i like to write poems,میں نے رہنا تھا
i had rather stay,آپ کی فرانسیسی اچھی ہے۔
your french is good,یہ ایک سودا ہے
its a bargain,میں یہ کروں گا
i will do it,کیا آپ میری بات سمجھ رہے ہیں؟
leave me alone,میں آپ کو کیوں بتاؤں
